epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
49,1747365955.5582917,1747365956.5300827,1747365955.5582917,1747365955.6088927,1747365956.4575799,1747365956.4575799,1747365955.5582917,1747365955.6088927,1747365956.5278654,,1747365955.6088927,,49,,,1747365955.5582917,,,,,,,
epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
9,1747366059.1659634,1747366059.6747065,1747366059.1659634,1747366059.2202754,1747366059.6196573,1747366059.6196573,1747366059.1659634,1747366059.2202754,1747366059.6730235,,1747366059.2202754,,9,,,1747366059.1659634,,,,,,,
epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
13,1747366704.6198077,1747366704.7018037,1747366704.6198077,1747366704.6723487,1747366704.6835163,1747366704.6835163,1747366704.6198077,1747366704.6723487,1747366704.692996,,1747366704.6723487,,13,,,1747366704.6198077,,,,,,,
14,1747366704.7018037,1747366704.785178,1747366704.7018037,1747366704.7346623,1747366704.7660408,1747366704.7660408,1747366704.7018037,1747366704.733646,1747366704.7753422,,1747366704.733646,,14,,,1747366704.7018037,,,,,,,
15,1747366704.785178,1747366704.8701391,1747366704.785178,1747366704.838015,1747366704.8493006,1747366704.8493006,1747366704.785178,1747366704.8370152,1747366704.8600988,,1747366704.8370152,,15,,,1747366704.785178,,,,,,,
16,1747366704.8711455,1747366704.9558704,1747366704.8711455,1747366704.9236894,1747366704.9378834,1747366704.9378834,1747366704.8711455,1747366704.9226856,1747366704.9471023,,1747366704.9226856,,16,,,1747366704.8711455,,,,,,,
17,1747366704.9558704,1747366705.0427806,1747366704.9558704,1747366705.0098062,1747366705.0220618,1747366705.0220618,1747366704.9558704,1747366705.0098062,1747366705.0322053,,1747366705.0098062,,17,,,1747366704.9558704,,,,,,,
18,1747366705.0437834,1747366705.1332207,1747366705.0437834,1747366705.0961058,1747366705.1114752,1747366705.1114752,1747366705.0437834,1747366705.0961058,1747366705.1208792,,1747366705.0961058,,18,,,1747366705.0437834,,,,,,,
19,1747366705.1332207,1747366705.2172172,1747366705.1332207,1747366705.1824915,1747366705.1968186,1747366705.1968186,1747366705.1332207,1747366705.1824915,1747366705.2083955,,1747366705.1824915,,19,,,1747366705.1332207,,,,,,,
20,1747366705.2172172,1747366705.304294,1747366705.2172172,1747366705.2640817,1747366705.2786424,1747366705.2786424,1747366705.2172172,1747366705.2640817,1747366705.29292,,1747366705.2640817,,20,,,1747366705.2172172,,,,,,,
21,1747366705.304294,1747366705.3972945,1747366705.304294,1747366705.3626366,1747366705.377701,1747366705.377701,1747366705.305808,1747366705.3626366,1747366705.3869796,,1747366705.3626366,,21,,,1747366705.304294,,,,,,,
22,1747366705.3972945,1747366705.4910336,1747366705.3972945,1747366705.4571052,1747366705.4703991,1747366705.4703991,1747366705.3972945,1747366705.4571052,1747366705.4805546,,1747366705.4571052,,22,,,1747366705.3972945,,,,,,,
